date;global radiation in [W/m²];air temperature at 2 meters [K];PV_yield_IN_[W];PV_supply_OUT_[W];grid_supply_IN_[W];ambient_heat_IN_[W];heat_pump_power_IN_[W];room_heating_IN_[W];e_consumers_IN_[W];Server_OUT_[W];e_mobility_OUT_[W];auxiliary_energy_IN_[W];transported_energy_IN_[W];room_conditioning_IN_[W];thermal_hp_OUT;temp_server_[°C];battery_[W];electricity_UG_[W];electricity_EG_[W];electricity_1OG_[W];electricity_2OG_[W];electricity_3OG_[W]
2020-01-01 00:00:00;0,0;273,95;0,0;0;31676,44961208498;43412,96834592185;17365,18733836874;34730,374676737476;17365,18733836874;1736,5187338368742;10419,112403021245;6946,074935347497;6946,074935347497;26047,78100755311;60778,15568429059;7,234205625936873;10000,0;14586,757364229741;6251,467441812747;10419,112403021245;6251,467441812747;4167,644961208498
2020-01-01 00:10:00;0,0;273,95;0,0;0;31676,44961208498;43412,96834592185;17365,18733836874;34730,374676737476;17365,18733836874;1736,5187338368742;10419,112403021245;6946,074935347497;6946,074935347497;26047,78100755311;60778,15568429059;7,234205625936873;10000,0;14586,757364229741;6251,467441812747;10419,112403021245;6251,467441812747;4167,644961208498
2020-01-01 00:20:00;0,0;273,95;0,0;0;31676,44961208498;43412,96834592185;17365,18733836874;34730,374676737476;17365,18733836874;1736,5187338368742;10419,112403021245;6946,074935347497;6946,074935347497;26047,78100755311;60778,15568429059;7,234205625936873;10000,0;14586,757364229741;6251,467441812747;10419,112403021245;6251,467441812747;4167,644961208498
2020-01-01 00:30:00;0,0;274,05;0,0;0;31234,547213326732;42952,653347215346;17181,06133888614;34362,12267777228;17181,06133888614;1718,1061338886138;10308,636803331683;6872,424535554455;6872,424535554455;25771,592008329208;60133,714686101484;7,342141575715571;10000,0;14432,091524664354;6185,18208199901;10308,636803331683;6185,18208199901;4123,454721332673
2020-01-01 00:40:00;0,0;273,95;0,0;0;31676,44961208498;43412,96834592185;17365,18733836874;34730,374676737476;17365,18733836874;1736,5187338368742;10419,112403021245;6946,074935347497;6946,074935347497;26047,78100755311;60778,15568429059;7,234205625936873;10000,0;14586,757364229741;6251,467441812747;10419,112403021245;6251,467441812747;4167,644961208498
2020-01-01 00:50:00;0,0;273,95;0,0;0;31676,44961208498;43412,96834592185;17365,18733836874;34730,374676737476;17365,18733836874;1736,5187338368742;10419,112403021245;6946,074935347497;6946,074935347497;26047,78100755311;60778,15568429059;7,234205625936873;10000,0;14586,757364229741;6251,467441812747;10419,112403021245;6251,467441812747;4167,644961208498
2020-01-01 01:00:00;0,0;273,95;0,0;0;31676,44961208498;43412,96834592185;17365,18733836874;34730,374676737476;17365,18733836874;1736,5187338368742;10419,112403021245;6946,074935347497;6946,074935347497;26047,78100755311;60778,15568429059;7,234205625936873;10000,0;14586,757364229741;6251,467441812747;10419,112403021245;6251,467441812747;4167,644961208498
2020-01-01 01:10:00;0,0;274,05;0,0;0;31234,547213326732;42952,653347215346;17181,06133888614;34362,12267777228;17181,06133888614;1718,1061338886138;10308,636803331683;6872,424535554455;6872,424535554455;25771,592008329208;60133,714686101484;7,342141575715571;10000,0;14432,091524664354;6185,18208199901;10308,636803331683;6185,18208199901;4123,454721332673
2020-01-01 01:20:00;0,0;274,05;0,0;0;31234,547213326732;42952,653347215346;17181,06133888614;34362,12267777228;17181,06133888614;1718,1061338886138;10308,636803331683;6872,424535554455;6872,424535554455;25771,592008329208;60133,714686101484;7,342141575715571;10000,0;14432,091524664354;6185,18208199901;10308,636803331683;6185,18208199901;4123,454721332673
2020-01-01 01:30:00;0,0;273,85;0,0;0;32119,969133334234;43874,96784722316;17549,987138889264;35099,97427777853;17549,987138889264;1754,9987138889264;10529,992283333559;7019,994855555706;7019,994855555706;26324,980708333896;61424,954986112425;7,1258746892731395;10000,0;14741,98919666698;6317,995370000135;10529,992283333559;6317,995370000135;4211,996913333423
2020-01-01 01:40:00;0,0;273,85;0,0;0;32119,969133334234;43874,96784722316;17549,987138889264;35099,97427777853;17549,987138889264;1754,9987138889264;10529,992283333559;7019,994855555706;7019,994855555706;26324,980708333896;61424,954986112425;7,1258746892731395;10000,0;14741,98919666698;6317,995370000135;10529,992283333559;6317,995370000135;4211,996913333423
2020-01-01 01:50:00;0,0;273,85;0,0;0;32119,969133334234;43874,96784722316;17549,987138889264;35099,97427777853;17549,987138889264;1754,9987138889264;10529,992283333559;7019,994855555706;7019,994855555706;26324,980708333896;61424,954986112425;7,1258746892731395;10000,0;14741,98919666698;6317,995370000135;10529,992283333559;6317,995370000135;4211,996913333423
2020-01-01 02:00:00;0,0;273,65;0,0;0;33011,81264597908;44803,971506228205;17921,588602491283;35843,17720498256;17921,588602491283;1792,1588602491283;10752,95316149477;7168,635440996513;7168,635440996513;26882,38290373692;62725,56010871949;6,90803931009939;10000,0;15054,134426092676;6451,771896896862;10752,95316149477;6451,771896896862;4301,181264597908
2020-01-01 02:10:00;0,0;273,45;0,0;0;33909,98403492631;45739,566703048244;18295,826681219296;36591,65336243859;18295,826681219296;1829,5826681219296;10977,496008731578;7318,330672487718;7318,330672487718;27443,740021828944;64035,39338426754;6,688658328682479;10000,0;15368,494412224207;6586,497605238947;10977,496008731578;6586,497605238947;4390,998403492631
2020-01-01 02:20:00;0,0;273,25;0,0;0;34814,38970897798;46681,65594685206;18672,662378740824;37345,32475748164;18672,662378740824;1867,2662378740824;11203,597427244495;7469,06495149633;7469,06495149633;28008,993568111233;65354,31832559288;6,467754604945474;10000,0;15685,03639814229;6722,158456346697;11203,597427244495;6722,158456346697;4481,438970897798
2020-01-01 02:30:00;0,0;273,25;0,0;0;34814,38970897798;46681,65594685206;18672,662378740824;37345,32475748164;18672,662378740824;1867,2662378740824;11203,597427244495;7469,06495149633;7469,06495149633;28008,993568111233;65354,31832559288;6,467754604945474;10000,0;15685,03639814229;6722,158456346697;11203,597427244495;6722,158456346697;4481,438970897798
2020-01-01 02:40:00;0,0;273,25;0,0;0;34814,38970897798;46681,65594685206;18672,662378740824;37345,32475748164;18672,662378740824;1867,2662378740824;11203,597427244495;7469,06495149633;7469,06495149633;28008,993568111233;65354,31832559288;6,467754604945474;10000,0;15685,03639814229;6722,158456346697;11203,597427244495;6722,158456346697;4481,438970897798
2020-01-01 02:50:00;0,0;273,25;0,0;0;34814,38970897798;46681,65594685206;18672,662378740824;37345,32475748164;18672,662378740824;1867,2662378740824;11203,597427244495;7469,06495149633;7469,06495149633;28008,993568111233;65354,31832559288;6,467754604945474;10000,0;15685,03639814229;6722,158456346697;11203,597427244495;6722,158456346697;4481,438970897798
